M2US000$ Index,,,M2US000V Index,,,M2USQU Index,,,M2USSC Index,,,M2US000G Index,,,M2USMVOL Index,,,M2USAHDV Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
11/10/2006,796.36,,11/10/2006,6738.66,,11/10/2006,733.83,,11/10/2006,196.53,,11/10/2006,3693.06,,11/10/2006,1376.19,,11/10/2006,1443.12
11/17/2006,808.82,,11/17/2006,6822.99,,11/17/2006,747.31,,11/17/2006,200.78,,11/17/2006,3760.52,,11/17/2006,1394.25,,11/17/2006,1458.44
11/24/2006,823.42,,11/24/2006,6804.86,,11/24/2006,746.8,,11/24/2006,202,,11/24/2006,3778.12,,11/24/2006,1401.84,,11/24/2006,1447.85
12/1/2006,823.71,,12/1/2006,6829.29,,12/1/2006,747.48,,12/1/2006,199.45,,12/1/2006,3748.35,,12/1/2006,1408.68,,12/1/2006,1455.99
12/8/2006,836.41,,12/8/2006,6869,,12/8/2006,752.44,,12/8/2006,202.57,,12/8/2006,3793.87,,12/8/2006,1418.46,,12/8/2006,1464.95
12/15/2006,838.73,,12/15/2006,6994.21,,12/15/2006,759.39,,12/15/2006,202.25,,12/15/2006,3812.57,,12/15/2006,1431.61,,12/15/2006,1496.22
12/22/2006,828.6,,12/22/2006,6949.07,,12/22/2006,748.2,,12/22/2006,199.32,,12/22/2006,3750.45,,12/22/2006,1420.53,,12/22/2006,1492.92
12/29/2006,837.1,,12/29/2006,6996.62,,12/29/2006,752.88,,12/29/2006,200.67,,12/29/2006,3765.35,,12/29/2006,1426.22,,12/29/2006,1500.01
1/5/2007,829.93,,1/5/2007,6929.35,,1/5/2007,751.12,,1/5/2007,198.04,,1/5/2007,3762.5,,1/5/2007,1414.44,,1/5/2007,1491.63
1/12/2007,855.47,,1/12/2007,6984.46,,1/12/2007,763.05,,1/12/2007,202.57,,1/12/2007,3861.18,,1/12/2007,1435.28,,1/12/2007,1502.69
1/19/2007,858.13,,1/19/2007,7017.2,,1/19/2007,761.39,,1/19/2007,200.14,,1/19/2007,3842.95,,1/19/2007,1444.64,,1/19/2007,1510.87
1/26/2007,859.52,,1/26/2007,6998.69,,1/26/2007,754.27,,1/26/2007,200.48,,1/26/2007,3811.6,,1/26/2007,1436.48,,1/26/2007,1502.52
2/2/2007,875.49,,2/2/2007,7145.79,,2/2/2007,767.23,,2/2/2007,205.98,,2/2/2007,3879.12,,2/2/2007,1461.15,,2/2/2007,1523.55
2/9/2007,868.83,,2/9/2007,7108.61,,2/9/2007,760.97,,2/9/2007,204.98,,2/9/2007,3851.65,,2/9/2007,1462.68,,2/9/2007,1511.63
2/16/2007,879.11,,2/16/2007,7199.92,,2/16/2007,767.3,,2/16/2007,208.15,,2/16/2007,3901.72,,2/16/2007,1478.01,,2/16/2007,1530.3
2/23/2007,872.92,,2/23/2007,7156.6,,2/23/2007,765.53,,2/23/2007,210.57,,2/23/2007,3909.55,,2/23/2007,1471.19,,2/23/2007,1519.55
3/2/2007,828.94,,3/2/2007,6876.76,,3/2/2007,731.61,,3/2/2007,197.86,,3/2/2007,3718.63,,3/2/2007,1415.47,,3/2/2007,1470.55
3/9/2007,843.91,,3/9/2007,6952.46,,3/9/2007,741.28,,3/9/2007,200.19,,3/9/2007,3762.13,,3/9/2007,1427.15,,3/9/2007,1483.38
3/16/2007,836.19,,3/16/2007,6866.85,,3/16/2007,733.09,,3/16/2007,198.74,,3/16/2007,3728.73,,3/16/2007,1415.4,,3/16/2007,1466.1
3/23/2007,872.72,,3/23/2007,7132.95,,3/23/2007,757.61,,3/23/2007,206.56,,3/23/2007,3848.99,,3/23/2007,1460.59,,3/23/2007,1516.5
3/30/2007,863.1,,3/30/2007,7079.19,,3/30/2007,750.65,,3/30/2007,205,,3/30/2007,3798.46,,3/30/2007,1441.47,,3/30/2007,1506.41
4/6/2007,881.27,,4/6/2007,7175.54,,4/6/2007,767,,4/6/2007,208.42,,4/6/2007,3875.79,,4/6/2007,1459.81,,4/6/2007,1523.85
4/13/2007,886.42,,4/13/2007,7216.91,,4/13/2007,775.11,,4/13/2007,210.71,,4/13/2007,3900.42,,4/13/2007,1468.26,,4/13/2007,1533.71
4/20/2007,904.37,,4/20/2007,7374.97,,4/20/2007,792.7,,4/20/2007,213.11,,4/20/2007,3976.45,,4/20/2007,1501.91,,4/20/2007,1568.61
4/27/2007,906.42,,4/27/2007,7422.54,,4/27/2007,795.37,,4/27/2007,213.65,,4/27/2007,4006.86,,4/27/2007,1505.24,,4/27/2007,1574.18
5/4/2007,909.02,,5/4/2007,7495.79,,5/4/2007,802.24,,5/4/2007,214.87,,5/4/2007,4029.52,,5/4/2007,1514.19,,5/4/2007,1591.81
5/11/2007,912.71,,5/11/2007,7520.84,,5/11/2007,800.42,,5/11/2007,214.06,,5/11/2007,4023.44,,5/11/2007,1512.75,,5/11/2007,1588.47
5/18/2007,919.25,,5/18/2007,7611.39,,5/18/2007,812.09,,5/18/2007,212.65,,5/18/2007,4059.22,,5/18/2007,1522.48,,5/18/2007,1613.22
5/25/2007,912.79,,5/25/2007,7574.12,,5/25/2007,809.1,,5/25/2007,214.19,,5/25/2007,4045.04,,5/25/2007,1512.98,,5/25/2007,1603.06
6/1/2007,929.16,,6/1/2007,7663.34,,6/1/2007,820.52,,6/1/2007,220.29,,6/1/2007,4118.89,,6/1/2007,1539.06,,6/1/2007,1614.54
6/8/2007,905.21,,6/8/2007,7504.12,,6/8/2007,802.98,,6/8/2007,215.8,,6/8/2007,4051.54,,6/8/2007,1504.2,,6/8/2007,1579.15
6/15/2007,922.05,,6/15/2007,7634.87,,6/15/2007,817.93,,6/15/2007,218.93,,6/15/2007,4120.88,,6/15/2007,1524.18,,6/15/2007,1597.96
6/22/2007,897.18,,6/22/2007,7455.01,,6/22/2007,801.34,,6/22/2007,215.3,,6/22/2007,4060.82,,6/22/2007,1483.72,,6/22/2007,1561.23
6/29/2007,902.88,,6/29/2007,7468.75,,6/29/2007,805.85,,6/29/2007,215.3,,6/29/2007,4055.75,,6/29/2007,1486.73,,6/29/2007,1571.73
7/6/2007,923.06,,7/6/2007,7584.84,,7/6/2007,823.08,,7/6/2007,220,,7/6/2007,4148.61,,7/6/2007,1511.76,,7/6/2007,1588.11
7/13/2007,938.13,,7/13/2007,7685.31,,7/13/2007,834.91,,7/13/2007,220.8,,7/13/2007,4205.11,,7/13/2007,1528.81,,7/13/2007,1609.03
7/20/2007,923.03,,7/20/2007,7564.51,,7/20/2007,830.97,,7/20/2007,215.87,,7/20/2007,4179.11,,7/20/2007,1508.51,,7/20/2007,1580.36
7/27/2007,873.99,,7/27/2007,7153.33,,7/27/2007,794.82,,7/27/2007,200.2,,7/27/2007,3995.65,,7/27/2007,1441.66,,7/27/2007,1512.32
8/3/2007,867.23,,8/3/2007,6994.54,,8/3/2007,784.66,,8/3/2007,193.4,,8/3/2007,3946.67,,8/3/2007,1426.68,,8/3/2007,1495.61
8/10/2007,870.46,,8/10/2007,7138.44,,8/10/2007,798.16,,8/10/2007,199.65,,8/10/2007,3985.52,,8/10/2007,1457.58,,8/10/2007,1524.3
8/17/2007,857.29,,8/17/2007,7172.24,,8/17/2007,790.33,,8/17/2007,198.72,,8/17/2007,3916.91,,8/17/2007,1454.99,,8/17/2007,1540.41
8/24/2007,889.69,,8/24/2007,7320.18,,8/24/2007,808.38,,8/24/2007,202.67,,8/24/2007,4024.78,,8/24/2007,1477.24,,8/24/2007,1564.94
8/31/2007,884.81,,8/31/2007,7240.69,,8/31/2007,813.76,,8/31/2007,201.54,,8/31/2007,4047.8,,8/31/2007,1470.61,,8/31/2007,1549.24
9/7/2007,881.64,,9/7/2007,7135.06,,9/7/2007,803.35,,9/7/2007,197.65,,9/7/2007,4003.37,,9/7/2007,1458.51,,9/7/2007,1525.5
9/14/2007,900.88,,9/14/2007,7308.74,,9/14/2007,817.2,,9/14/2007,199.8,,9/14/2007,4074.93,,9/14/2007,1490.04,,9/14/2007,1562.04
9/21/2007,939.27,,9/21/2007,7526.94,,9/21/2007,837.75,,9/21/2007,207.01,,9/21/2007,4178.99,,9/21/2007,1524.77,,9/21/2007,1603.15
9/28/2007,947.29,,9/28/2007,7487.44,,9/28/2007,840.7,,9/28/2007,205.2,,9/28/2007,4216.52,,9/28/2007,1524.04,,9/28/2007,1593.39
10/5/2007,966.09,,10/5/2007,7672.54,,10/5/2007,849.73,,10/5/2007,214.59,,10/5/2007,4290.82,,10/5/2007,1556.89,,10/5/2007,1630.31
10/12/2007,983.8,,10/12/2007,7644.67,,10/12/2007,853.28,,10/12/2007,213.2,,10/12/2007,4334.86,,10/12/2007,1555.94,,10/12/2007,1617.43
10/19/2007,944.69,,10/19/2007,7301.88,,10/19/2007,823.28,,10/19/2007,202.78,,10/19/2007,4185.29,,10/19/2007,1494.09,,10/19/2007,1551.01
10/26/2007,979.7,,10/26/2007,7459.96,,10/26/2007,844.8,,10/26/2007,207.72,,10/26/2007,4292.51,,10/26/2007,1527.94,,10/26/2007,1583.97
11/2/2007,977.83,,11/2/2007,7220.04,,11/2/2007,839.96,,11/2/2007,202.52,,11/2/2007,4290.7,,11/2/2007,1506.88,,11/2/2007,1537.87
11/9/2007,941.63,,11/9/2007,7010.91,,11/9/2007,809.9,,11/9/2007,196.11,,11/9/2007,4105.8,,11/9/2007,1476.77,,11/9/2007,1500.69
11/16/2007,925.88,,11/16/2007,7006.45,,11/16/2007,821.06,,11/16/2007,195.3,,11/16/2007,4138.53,,11/16/2007,1482.33,,11/16/2007,1517.3
11/23/2007,923.17,,11/23/2007,6897.14,,11/23/2007,817.29,,11/23/2007,191.67,,11/23/2007,4098.19,,11/23/2007,1470.98,,11/23/2007,1493.84
11/30/2007,956.15,,11/30/2007,7125.84,,11/30/2007,829.58,,11/30/2007,195.85,,11/30/2007,4196.34,,11/30/2007,1505.5,,11/30/2007,1543.16
12/7/2007,991.14,,12/7/2007,7233.21,,12/7/2007,844.48,,12/7/2007,200.38,,12/7/2007,4279.54,,12/7/2007,1529.64,,12/7/2007,1557.03
12/14/2007,982.66,,12/14/2007,7028.87,,12/14/2007,834.25,,12/14/2007,192.61,,12/14/2007,4193.2,,12/14/2007,1492.77,,12/14/2007,1516.83
12/21/2007,993.41,,12/21/2007,7100.76,,12/21/2007,846.21,,12/21/2007,198.32,,12/21/2007,4250.19,,12/21/2007,1506.11,,12/21/2007,1521.52
12/28/2007,996.75,,12/28/2007,7071.63,,12/28/2007,841.1,,12/28/2007,195.77,,12/28/2007,4235.05,,12/28/2007,1497.28,,12/28/2007,1509.37
1/4/2008,958.75,,1/4/2008,6801.61,,1/4/2008,808,,1/4/2008,183.81,,1/4/2008,4017.77,,1/4/2008,1444.38,,1/4/2008,1457.22
1/11/2008,936.97,,1/11/2008,6797.25,,1/11/2008,805.32,,1/11/2008,179.26,,1/11/2008,3952.25,,1/11/2008,1451.04,,1/11/2008,1465.83
1/18/2008,870.73,,1/18/2008,6384.97,,1/18/2008,767.28,,1/18/2008,170.66,,1/18/2008,3767.31,,1/18/2008,1370.51,,1/18/2008,1382.11
1/25/2008,857.82,,1/25/2008,6456.56,,1/25/2008,760.48,,1/25/2008,175.03,,1/25/2008,3764.1,,1/25/2008,1372.04,,1/25/2008,1395.14
2/1/2008,877.08,,2/1/2008,6829.37,,2/1/2008,777.6,,2/1/2008,187.06,,2/1/2008,3920.01,,2/1/2008,1435.99,,2/1/2008,1474.73
2/8/2008,848.24,,2/8/2008,6476.34,,2/8/2008,750.5,,2/8/2008,179.16,,2/8/2008,3772.91,,2/8/2008,1373.97,,2/8/2008,1400.29
2/15/2008,869.33,,2/15/2008,6560.31,,2/15/2008,763.23,,2/15/2008,180.02,,2/15/2008,3831.47,,2/15/2008,1399.56,,2/15/2008,1418.33
2/22/2008,874.38,,2/22/2008,6570.96,,2/22/2008,767.01,,2/22/2008,179.65,,2/22/2008,3847.98,,2/22/2008,1401.32,,2/22/2008,1412.98
2/29/2008,868.38,,2/29/2008,6423.49,,2/29/2008,764.15,,2/29/2008,177.16,,2/29/2008,3811.21,,2/29/2008,1376.35,,2/29/2008,1376.44
3/7/2008,849.18,,3/7/2008,6207.75,,3/7/2008,750.97,,3/7/2008,170.58,,3/7/2008,3730.07,,3/7/2008,1346.54,,3/7/2008,1338.68
3/14/2008,852.53,,3/14/2008,6201.62,,3/14/2008,746.76,,3/14/2008,170.35,,3/14/2008,3712.37,,3/14/2008,1340.47,,3/14/2008,1335.44
3/21/2008,846.81,,3/21/2008,6500.79,,3/21/2008,760.58,,3/21/2008,173.53,,3/21/2008,3761.23,,3/21/2008,1381.23,,3/21/2008,1416.94
3/28/2008,862.99,,3/28/2008,6375.72,,3/28/2008,759.29,,3/28/2008,174.28,,3/28/2008,3766.78,,3/28/2008,1367.07,,3/28/2008,1386.43
4/4/2008,902.2,,4/4/2008,6641.4,,4/4/2008,781.37,,4/4/2008,183.05,,4/4/2008,3933.24,,4/4/2008,1422.71,,4/4/2008,1430.39
4/11/2008,889.72,,4/11/2008,6431.68,,4/11/2008,768.2,,4/11/2008,177.38,,4/11/2008,3850.23,,4/11/2008,1391.32,,4/11/2008,1381.64
4/18/2008,942.73,,4/18/2008,6670.79,,4/18/2008,799.3,,4/18/2008,185.8,,4/18/2008,4035.47,,4/18/2008,1435.51,,4/18/2008,1413.49
4/25/2008,948.97,,4/25/2008,6718.7,,4/25/2008,795.64,,4/25/2008,186.95,,4/25/2008,4052.17,,4/25/2008,1440.26,,4/25/2008,1424.99
5/2/2008,950.06,,5/2/2008,6800.52,,5/2/2008,798.53,,5/2/2008,188.8,,5/2/2008,4092.43,,5/2/2008,1458.13,,5/2/2008,1450.29
5/9/2008,954.76,,5/9/2008,6623.11,,5/9/2008,789.7,,5/9/2008,188.03,,5/9/2008,4071.72,,5/9/2008,1431.37,,5/9/2008,1402.7
5/16/2008,987.27,,5/16/2008,6789.35,,5/16/2008,812.46,,5/16/2008,194.37,,5/16/2008,4196.86,,5/16/2008,1463.47,,5/16/2008,1426.67
5/23/2008,953.95,,5/23/2008,6554.14,,5/23/2008,791.92,,5/23/2008,189.29,,5/23/2008,4055.5,,5/23/2008,1430.14,,5/23/2008,1380.98
5/30/2008,975.26,,5/30/2008,6625.33,,5/30/2008,807.96,,5/30/2008,195.53,,5/30/2008,4160.23,,5/30/2008,1449.96,,5/30/2008,1398.24
6/6/2008,974.72,,6/6/2008,6400.21,,6/6/2008,789.97,,6/6/2008,192.66,,6/6/2008,4089.64,,6/6/2008,1415.18,,6/6/2008,1350.63
6/13/2008,972.79,,6/13/2008,6373.26,,6/13/2008,796.19,,6/13/2008,190.92,,6/13/2008,4099,,6/13/2008,1417.86,,6/13/2008,1340.05
6/20/2008,967.49,,6/20/2008,6147.08,,6/20/2008,776.07,,6/20/2008,188.35,,6/20/2008,4002.53,,6/20/2008,1379.26,,6/20/2008,1290.17
6/27/2008,956.25,,6/27/2008,5959.81,,6/27/2008,755.63,,6/27/2008,180.82,,6/27/2008,3888.17,,6/27/2008,1348.99,,6/27/2008,1250.74
7/4/2008,924.92,,7/4/2008,5931.96,,7/4/2008,749.12,,7/4/2008,172.94,,7/4/2008,3796.81,,7/4/2008,1341.77,,7/4/2008,1256.01
7/11/2008,915.01,,7/11/2008,5794.83,,7/11/2008,738.88,,7/11/2008,173.22,,7/11/2008,3756.26,,7/11/2008,1337.98,,7/11/2008,1244.11
7/18/2008,882.23,,7/18/2008,5917.98,,7/18/2008,750.86,,7/18/2008,177.35,,7/18/2008,3795.64,,7/18/2008,1360.3,,7/18/2008,1280.08
7/25/2008,863.05,,7/25/2008,5900.08,,7/25/2008,749.29,,7/25/2008,179.08,,7/25/2008,3786.76,,7/25/2008,1359.85,,7/25/2008,1281.51
8/1/2008,866.67,,8/1/2008,5946.82,,8/1/2008,747.59,,8/1/2008,181.32,,8/1/2008,3777.98,,8/1/2008,1371.21,,8/1/2008,1294.69
8/8/2008,846.74,,8/8/2008,6097.71,,8/8/2008,776.83,,8/8/2008,185.28,,8/8/2008,3886.09,,8/8/2008,1411.09,,8/8/2008,1339.68
8/15/2008,849.79,,8/15/2008,6074.14,,8/15/2008,780.13,,8/15/2008,188.82,,8/15/2008,3923.57,,8/15/2008,1414.34,,8/15/2008,1339.98
8/22/2008,873.46,,8/22/2008,6034.94,,8/22/2008,778.62,,8/22/2008,186.1,,8/22/2008,3916.51,,8/22/2008,1410.78,,8/22/2008,1327.28
8/29/2008,867.46,,8/29/2008,6048.97,,8/29/2008,766.29,,8/29/2008,186.65,,8/29/2008,3858.99,,8/29/2008,1404.7,,8/29/2008,1322.17
9/5/2008,810.9,,9/5/2008,5947.64,,9/5/2008,736.04,,9/5/2008,180.88,,9/5/2008,3674.56,,9/5/2008,1386.82,,9/5/2008,1317.04
9/12/2008,814.45,,9/12/2008,5965.63,,9/12/2008,751.8,,9/12/2008,181.3,,9/12/2008,3717.49,,9/12/2008,1420.27,,9/12/2008,1343.53
9/19/2008,823.86,,9/19/2008,6093.01,,9/19/2008,745.66,,9/19/2008,186.78,,9/19/2008,3672,,9/19/2008,1440.81,,9/19/2008,1374.9
9/26/2008,775.06,,9/26/2008,5880.5,,9/26/2008,734.37,,9/26/2008,174.77,,9/26/2008,3545.5,,9/26/2008,1408.76,,9/26/2008,1333.51
10/3/2008,685.12,,10/3/2008,5395.72,,10/3/2008,676.86,,10/3/2008,153.75,,10/3/2008,3156.8,,10/3/2008,1320.99,,10/3/2008,1252.07
10/10/2008,583.89,,10/10/2008,4335.65,,10/10/2008,561.04,,10/10/2008,128.64,,10/10/2008,2631.62,,10/10/2008,1088.89,,10/10/2008,1029.82
10/17/2008,601.42,,10/17/2008,4584.7,,10/17/2008,584.94,,10/17/2008,130.15,,10/17/2008,2721.11,,10/17/2008,1141.48,,10/17/2008,1087.11
10/24/2008,569.61,,10/24/2008,4331.95,,10/24/2008,549.06,,10/24/2008,116.68,,10/24/2008,2496.06,,10/24/2008,1070.19,,10/24/2008,1033.14
10/31/2008,627.13,,10/31/2008,4753.82,,10/31/2008,603.32,,10/31/2008,132.52,,10/31/2008,2785.92,,10/31/2008,1165.95,,10/31/2008,1128.48
11/7/2008,600.95,,11/7/2008,4583.41,,11/7/2008,583.44,,11/7/2008,125.35,,11/7/2008,2671.81,,11/7/2008,1134.95,,11/7/2008,1092.77
11/14/2008,577.01,,11/14/2008,4330.59,,11/14/2008,556.96,,11/14/2008,114.17,,11/14/2008,2485.82,,11/14/2008,1078.39,,11/14/2008,1045.2
11/21/2008,526.01,,11/21/2008,3929.75,,11/21/2008,531.23,,11/21/2008,101.08,,11/21/2008,2293.24,,11/21/2008,999.81,,11/21/2008,950.4
11/28/2008,574.41,,11/28/2008,4483.33,,11/28/2008,574.98,,11/28/2008,118.17,,11/28/2008,2532.21,,11/28/2008,1106.23,,11/28/2008,1074.09
12/5/2008,576.99,,12/5/2008,4394.27,,12/5/2008,555.25,,12/5/2008,115.05,,12/5/2008,2466.16,,12/5/2008,1083.02,,12/5/2008,1067.69
12/12/2008,558.12,,12/12/2008,4425.62,,12/12/2008,562.7,,12/12/2008,117.33,,12/12/2008,2479.56,,12/12/2008,1068.99,,12/12/2008,1063.41
12/19/2008,572.95,,12/19/2008,4433.66,,12/19/2008,569.92,,12/19/2008,121.36,,12/19/2008,2531.11,,12/19/2008,1082.26,,12/19/2008,1063.41
12/26/2008,566.51,,12/26/2008,4370.07,,12/26/2008,563.86,,12/26/2008,118.91,,12/26/2008,2487.54,,12/26/2008,1069.27,,12/26/2008,1048.49
1/2/2009,592.53,,1/2/2009,4676.98,,1/2/2009,599.85,,1/2/2009,127.39,,1/2/2009,2651.64,,1/2/2009,1132,,1/2/2009,1115.73
1/9/2009,557.72,,1/9/2009,4438.68,,1/9/2009,578.01,,1/9/2009,122.76,,1/9/2009,2565.82,,1/9/2009,1077.7,,1/9/2009,1049.42
1/16/2009,536.48,,1/16/2009,4171.71,,1/16/2009,568.12,,1/16/2009,118.81,,1/16/2009,2493.93,,1/16/2009,1043.34,,1/16/2009,977.19
1/23/2009,522.65,,1/23/2009,4057.54,,1/23/2009,557.34,,1/23/2009,114.12,,1/23/2009,2452.59,,1/23/2009,1007.77,,1/23/2009,945.43
1/30/2009,529.92,,1/30/2009,4012.16,,1/30/2009,555.09,,1/30/2009,113.57,,1/30/2009,2448.35,,1/30/2009,1007.38,,1/30/2009,926.64
2/6/2009,549.73,,2/6/2009,4183.5,,2/6/2009,586.05,,2/6/2009,120.64,,2/6/2009,2605.23,,2/6/2009,1047.96,,2/6/2009,960.28
2/13/2009,522.23,,2/13/2009,3939.29,,2/13/2009,564.54,,2/13/2009,114.9,,2/13/2009,2515.99,,2/13/2009,1000.65,,2/13/2009,904.41
2/20/2009,497.51,,2/20/2009,3603.55,,2/20/2009,535.47,,2/20/2009,105.36,,2/20/2009,2389.92,,2/20/2009,946.64,,2/20/2009,826.37
2/27/2009,477.4,,2/27/2009,3467.33,,2/27/2009,508.59,,2/27/2009,100.61,,2/27/2009,2274.64,,2/27/2009,910.45,,2/27/2009,805.29
3/6/2009,447.15,,3/6/2009,3164.14,,3/6/2009,485.64,,3/6/2009,90.88,,3/6/2009,2153.89,,3/6/2009,845.1,,3/6/2009,733.05
3/13/2009,488.48,,3/13/2009,3576.77,,3/13/2009,525.29,,3/13/2009,102.42,,3/13/2009,2339.85,,3/13/2009,917.36,,3/13/2009,843.34
3/20/2009,488.91,,3/20/2009,3639.8,,3/20/2009,533.99,,3/20/2009,104.26,,3/20/2009,2373.83,,3/20/2009,936.91,,3/20/2009,862.32
3/27/2009,514.2,,3/27/2009,3883.84,,3/27/2009,561.32,,3/27/2009,112.61,,3/27/2009,2504.31,,3/27/2009,986.37,,3/27/2009,918.91
4/3/2009,523.2,,4/3/2009,4023.02,,4/3/2009,577.06,,4/3/2009,119.41,,4/3/2009,2584.44,,4/3/2009,1008.4,,4/3/2009,943.03
4/10/2009,531.87,,4/10/2009,4111.55,,4/10/2009,580.72,,4/10/2009,122.78,,4/10/2009,2615.11,,4/10/2009,1028.67,,4/10/2009,971.34
4/17/2009,538.89,,4/17/2009,4187.13,,4/17/2009,585.71,,4/17/2009,126.4,,4/17/2009,2647.79,,4/17/2009,1048.46,,4/17/2009,989.5
4/24/2009,537.09,,4/24/2009,4140.64,,4/24/2009,586.1,,4/24/2009,127.05,,4/24/2009,2654.79,,4/24/2009,1030.61,,4/24/2009,974.52
5/1/2009,533.17,,5/1/2009,4193.63,,5/1/2009,595.99,,5/1/2009,129.82,,5/1/2009,2695.11,,5/1/2009,1045.51,,5/1/2009,982.44
5/8/2009,564.59,,5/8/2009,4570.04,,5/8/2009,609.88,,5/8/2009,137.15,,5/8/2009,2771.68,,5/8/2009,1108.98,,5/8/2009,1077.32
5/15/2009,539.78,,5/15/2009,4272.11,,5/15/2009,594.9,,5/15/2009,127.32,,5/15/2009,2680.14,,5/15/2009,1050.95,,5/15/2009,1012.07
5/22/2009,542.82,,5/22/2009,4285.45,,5/22/2009,600.5,,5/22/2009,128.81,,5/22/2009,2704.51,,5/22/2009,1055.59,,5/22/2009,1010.45
5/29/2009,560.71,,5/29/2009,4439.14,,5/29/2009,622.81,,5/29/2009,134.94,,5/29/2009,2806.22,,5/29/2009,1087.48,,5/29/2009,1046.81
6/5/2009,572.95,,6/5/2009,4515.63,,6/5/2009,642.14,,6/5/2009,141.36,,6/5/2009,2886.44,,6/5/2009,1103.55,,6/5/2009,1064.52
6/12/2009,573.84,,6/12/2009,4564.2,,6/12/2009,647.81,,6/12/2009,141.1,,6/12/2009,2898.46,,6/12/2009,1112.77,,6/12/2009,1073.79
6/19/2009,568.42,,6/19/2009,4407.88,,6/19/2009,633.95,,6/19/2009,136.28,,6/19/2009,2843.28,,6/19/2009,1094.48,,6/19/2009,1044.69
6/26/2009,573.04,,6/26/2009,4384.05,,6/26/2009,631.61,,6/26/2009,136.48,,6/26/2009,2850.34,,6/26/2009,1097.76,,6/26/2009,1048.5
7/3/2009,558.79,,7/3/2009,4274.22,,7/3/2009,621.18,,7/3/2009,133.33,,7/3/2009,2785.05,,7/3/2009,1077.26,,7/3/2009,1033.25
7/10/2009,554.5,,7/10/2009,4169.15,,7/10/2009,608.69,,7/10/2009,128.94,,7/10/2009,2745.89,,7/10/2009,1063.1,,7/10/2009,1015.23
7/17/2009,587.62,,7/17/2009,4465.4,,7/17/2009,648.48,,7/17/2009,139.39,,7/17/2009,2934.21,,7/17/2009,1119.06,,7/17/2009,1073.77
7/24/2009,610.31,,7/24/2009,4684.34,,7/24/2009,669.48,,7/24/2009,147.16,,7/24/2009,3043.03,,7/24/2009,1152.67,,7/24/2009,1125.67
7/31/2009,611.65,,7/31/2009,4746.35,,7/31/2009,669.32,,7/31/2009,149.37,,7/31/2009,3048.92,,7/31/2009,1168.34,,7/31/2009,1132.59
8/7/2009,617.04,,8/7/2009,4925.77,,8/7/2009,676.59,,8/7/2009,155.35,,8/7/2009,3078.27,,8/7/2009,1188.71,,8/7/2009,1143.88
8/14/2009,611.94,,8/14/2009,4889.08,,8/14/2009,672.88,,8/14/2009,153.63,,8/14/2009,3067.02,,8/14/2009,1185.86,,8/14/2009,1137.32
8/21/2009,623.28,,8/21/2009,5009.38,,8/21/2009,688.7,,8/21/2009,157.76,,8/21/2009,3127.45,,8/21/2009,1208.41,,8/21/2009,1162.68
8/28/2009,625.16,,8/28/2009,5030.99,,8/28/2009,689.34,,8/28/2009,158.53,,8/28/2009,3131.13,,8/28/2009,1211.02,,8/28/2009,1164.89
9/4/2009,620.91,,9/4/2009,4936.9,,9/4/2009,685.52,,9/4/2009,155.89,,9/4/2009,3121.52,,9/4/2009,1197.9,,9/4/2009,1149.76
9/11/2009,636.35,,9/11/2009,5068.8,,9/11/2009,703.29,,9/11/2009,162.67,,9/11/2009,3206.04,,9/11/2009,1222.22,,9/11/2009,1177.42
9/18/2009,642.58,,9/18/2009,5217.3,,9/18/2009,713.89,,9/18/2009,169.07,,9/18/2009,3266.47,,9/18/2009,1251.13,,9/18/2009,1209.01
9/25/2009,631.09,,9/25/2009,5083.52,,9/25/2009,699.83,,9/25/2009,163.46,,9/25/2009,3206.02,,9/25/2009,1231.16,,9/25/2009,1191.23
10/2/2009,623.9,,10/2/2009,4975.91,,10/2/2009,692.1,,10/2/2009,159.12,,10/2/2009,3161.37,,10/2/2009,1212.57,,10/2/2009,1173.07
10/9/2009,647.36,,10/9/2009,5219.68,,10/9/2009,720.99,,10/9/2009,168.88,,10/9/2009,3296.81,,10/9/2009,1256.38,,10/9/2009,1213.09
10/16/2009,655.37,,10/16/2009,5296.73,,10/16/2009,734.36,,10/16/2009,169.84,,10/16/2009,3348.28,,10/16/2009,1269.99,,10/16/2009,1230.87
10/23/2009,647.59,,10/23/2009,5243.48,,10/23/2009,731.34,,10/23/2009,166.73,,10/23/2009,3333.22,,10/23/2009,1257.44,,10/23/2009,1217.39
10/30/2009,623.95,,10/30/2009,5013.83,,10/30/2009,708.74,,10/30/2009,156.03,,10/30/2009,3207.02,,10/30/2009,1214.32,,10/30/2009,1184.88
11/6/2009,650.03,,11/6/2009,5165.56,,11/6/2009,733.51,,11/6/2009,161.53,,11/6/2009,3322.15,,11/6/2009,1252.27,,11/6/2009,1220.45
11/13/2009,667.99,,11/13/2009,5278.26,,11/13/2009,749.87,,11/13/2009,164.4,,11/13/2009,3403.26,,11/13/2009,1273.75,,11/13/2009,1248.12
11/20/2009,663.31,,11/20/2009,5284.77,,11/20/2009,750.66,,11/20/2009,163.21,,11/20/2009,3386.62,,11/20/2009,1275.12,,11/20/2009,1255.26
